"contpcclau_ID","contpcclau_ncont","contpcclau_nclau"
1,12,3
2,13,3
3,14,6
4,15,6
5,16,6
8,19,24
9,20,25
10,21,25
12,22,25
13,2,6
15,6,6
16,7,6
17,8,6
18,9,6
20,4,6
21,5,6
22,10,6
23,10,6
24,23,25
25,24,25
26,25,25
27,26,25
28,27,25
29,29,33
30,30,33
31,31,33
32,33,26
33,35,26
34,36,26
36,39,24
37,40,26
38,41,29
39,42,29
40,43,1
41,44,3
42,45,9
43,46,3
44,47,24
45,48,24
46,48,62
47,49,62
48,49,1
49,51,24
50,52,24
51,54,26
52,55,27
53,56,27
54,58,27
55,59,27
56,60,27
57,61,27
58,63,2
59,64,26
60,65,33
61,34,26
62,50,1
63,57,26
65,62,27
68,39,55
69,34,60
71,73,60
72,35,55
75,56,55
76,23,94
77,26,94
78,32,33
79,63,94
80,64,94
81,75,60
83,74,86
86,16,55
88,19,92
89,76,55
90,76,60
91,11,6
92,24,4
93,25,4
95,28,25
96,29,94
97,30,94
98,31,94
99,32,94
100,28,60
101,27,94
102,66,26
103,66,60
105,67,26
106,68,32
107,69,32
108,70,26
109,71,33
110,72,33
111,56,26
112,75,94
113,77,56
114,78,92
115,79,94
116,80,60
118,37,26
