"ID_dim","dim_ambit","dim_desc"
1,1,"Històrica"
2,1,"Geogràfica"
3,1,"Cultural i artística"
4,1,"Ciutadana"
5,2,"Resolució de problemes"
6,2,"Raonament i prova"
7,2,"Connexions"
8,2,"Comunicació i representació"
9,8,"Instruments i aplicacions"
10,8,"Tractament de la informació i organització dels entorns de treball i aprenentatge"
11,8,"Comunicació interpersonal i col·laboració"
12,8,"Ciutadania, hàbits,civisme i identitat digital"
13,9,"Autoconeixement"
14,9,"Aprendre a aprendre"
15,9,"Participació"
